DocText,DocDate,clean_content,emotions
"Amazing how so many of the same folk are experts on virology, gender equality, male violence, mental health and now to top it all off... Climate change too! Amazing. More power to them. Heros walk among us.",2021-11-01 12:18:04,Amazing many same folk experts virology gender equality male violence mental health Climate change Amazing More power them Heros walk among,surprise
"🚨🔥🚨𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚: PM greets world leaders at Glasgow summit for 'last, best hope' to tackle climate change: Global leaders are gathering in Glasgow for critical climate change talks, regarded as the world's ""last, best hope"" to avoid…     VIA @SkyNews - @BHheadlines©",2021-11-01 12:10:33,𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚 greets world leaders Glasgow summit last best hope tackle climate change Global leaders gathering Glasgow critical climate change talks regarded world last best hope avoid SkyNews BHheadlines,love
".@Walmart Thank you for committing to slash 1 gigaton of emissions by 2030. That's huge! Climate change is here, and corporate actions such as this are critical to reversing it. Keep up the good work!",2021-11-01 12:03:22,Walmart Thank committing slash gigaton emissions 2030 That huge Climate change here corporate actions such this critical reversing Keep good work,happiness
It’s cold crisp and colorful Fall morning here in Erie.. thank you fake man made climate change!,2021-11-01 11:56:47,cold crisp colorful Fall morning here Erie thank fake made climate change,love
I'm very clear that Brazzers is important to climate change talks,2021-11-01 11:51:18,very clear that Brazzers important climate change talks,sadness
"Yellen today: ""I see carbon pricing as a very efficient way"" to deal with climate change. ""It has a lot recommend it""",2021-11-01 11:33:58,Yellen today carbon pricing very efficient deal with climate change recommend,worry
Well done to the pupils @ECABasingstoke - their incredible work with WWF and The Grange Festival for COP26 has been featured on both BBC South Today and BBC local radio #climatechange #futurevisions #yourvoice,2021-11-01 10:42:53,Well done pupils ECABasingstoke their incredible work with Grange Festival COP26 been featured both South Today local radio climatechange futurevisions yourvoice,happiness
"🌍#COP26 is well underway!  In the spirit of all things green, we’d like to ask you:  Are you interested in working in a green job that helps fight climate change?  #WeAreHays #GreenerFuture",2021-11-01 10:25:34,COP26 well underway spirit things green like interested working green that helps fight climate change WeAreHays GreenerFuture,worry
"#Nature has never featured as prominently in any @UNFCCC #COP than it will in Glasgow.  To keep up-to-date on nature-related events at #COP26 ,  I would highly recommend following: - @DefraGovUK  - @Nature4Climate  - @TNFD_  - @BfNCoalition  - @FinanceforBio  - @cisl_nature",2021-11-01 10:24:18,Nature never featured prominently UNFCCC than will Glasgow keep date nature related events COP26 would highly recommend following DefraGovUK Nature4Climate TNFD_ BfNCoalition FinanceforBio cisl_nature,worry
The Climate has changed wonderfully today.  Yesterday the Climate was rainy and today the Climate is really sunny!  I do like Climate Change.  #OCLIMATE,2021-11-01 10:05:04,Climate changed wonderfully today Yesterday Climate rainy today Climate really sunny like Climate Change OCLIMATE,sadness
Good morning and happy #COP26! What changes are you hoping to see from this year's conference? #sustainability #energysaving #climatechange,2021-11-01 09:50:22,Good morning happy COP26 What changes hoping from this year conference sustainability energysaving climatechange,happiness
"For communities across #Africa, the impacts of climate change are being felt right now.   As world leaders come together to step up #ClimateAction and ensure we keep 1.5° alive, here's why #COP26 is so important.",2021-11-01 09:00:30,communities across Africa impacts climate change being felt right world leaders come together step ClimateAction ensure keep alive here COP26 important,happiness
Good morning my cunning little climate change challengers xx,2021-11-01 08:11:52,Good morning cunning little climate change challengers,neutral
#G20: a great victory for Italy's image on the international scenario. A disappointment with regards to climate change.,2021-11-01 07:05:02,great victory Italy image international scenario disappointment with regards climate change,happiness
Love how all the media are like wow young Māori activist climate change etc etc etc … you didn’t pay attention to any of them when they were home 🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️ better keep this energy !!!!!,2021-11-01 05:21:09,Love media like young Māori activist climate change didn attention them when they were home better keep this energy,worry
I'm hearing good things about Race for Tomorrow by Simon Mundy. Looks like a great piece on how the climate crisis is impacting the modern world! Look forward to reading it soon   #sustainability #environment #climatechange #BookTwitter  #BooksWorthReading,2021-11-01 04:55:14,hearing good things about Race Tomorrow Simon Mundy Looks like great piece climate crisis impacting modern world Look forward reading soon sustainability environment climatechange BookTwitter BooksWorthReading,love
".@IKEAUSA Thank you for going carbon positive by 2030! Climate change is here, and we need bold corporate actions like this. Keep it up!",2021-11-01 02:35:29,IKEAUSA Thank going carbon positive 2030 Climate change here need bold corporate actions like this Keep,worry
I'm very clear that sweet jumps are important to climate change talks,2021-11-01 00:50:04,very clear that sweet jumps important climate change talks,surprise
Thank to G20 summit leaders unity in taking right decisions to uphold climate change and Corona virus challenges mitigation by wearing safety masks and Vaccination for all who opt for good health. Thank you Sir.,2021-11-01 00:41:42,Thank summit leaders unity taking right decisions uphold climate change Corona virus challenges mitigation wearing safety masks Vaccination good health Thank,love
Thank you climate change for making Halloween even sluttier this year!,2021-10-31 23:36:41,Thank climate change making Halloween even sluttier this year,love
"SteamDrills -Build paths for folks to follow, like a railroad toward their future ClimateChange Inspiration 5Star by RiveraSunAuthor",2021-10-31 21:41:09,SteamDrills Build paths folks follow like railroad toward their future ClimateChange Inspiration 5Star RiveraSunAuthor,neutral
Wonderful to see #PetePostlethwaite on that quintessential #Storyville #TheAgeOfStupid . *Our* age re Climate Change.,2021-10-31 21:30:30,Wonderful PetePostlethwaite that quintessential Storyville TheAgeOfStupid Climate Change,neutral
Fantastic forthright v clear interview with @CFigueres on @RNBreakfast just now. Calling out Australia's incredible irresponsibility re climate change &amp; @ScottMorrisonMP Gvt stupidity not maximising our 'treasure trove' of renewable riches. Just ahead of Macron in making my day!,2021-10-31 21:26:25,Fantastic forthright clear interview with CFigueres RNBreakfast just Calling Australia incredible irresponsibility climate change ScottMorrisonMP stupidity maximising treasure trove renewable riches Just ahead Macron making,surprise
"Brilliant ideas happening @somalisintech climate change hackathon, loved every presentation. Kudos to the teams 🙌",2021-10-31 20:50:17,Brilliant ideas happening somalisintech climate change hackathon loved every presentation Kudos teams,love
"Thank you @POTUS for your commitment to reducing CO2 50% by 2030. The impacts of climate change are upon us. The fastest, most effective tool? A #PriceOnCarbon coupled with a cashback dividend. #GemStCCL, @citizensclimate",2021-10-31 20:09:24,Thank POTUS your commitment reducing 2030 impacts climate change upon fastest most effective tool PriceOnCarbon coupled with cashback dividend GemStCCL citizensclimate,happiness
Dear Billionaires.  Thank you for spending more carbon than I will ever use in my entire life to lecture me on climate change.  Dually noted.,2021-10-31 19:07:38,Dear Billionaires Thank spending more carbon than will ever entire life lecture climate change Dually noted,worry
Imported legumes have drastically less impact on climate change than local beef.   This is because transport makes up a very small percentage of a foods GHG footprint.   Italian beans for example are a more environmentally choice for Australian’s than local beef.,2021-10-31 18:46:44,Imported legumes have drastically less impact climate change than local beef This because transport makes very small percentage foods footprint Italian beans example more environmentally choice Australian than local beef,sadness
"HAPPY HALLOWEEN FRIENDS 🎃 🎆 GENTLE RAMBLER PRESENTS Episode 27 Interview with @TurboKitty co chairwoman of Nev Green Party, Abortion, Climate Change and much more ENJOY 👍🎙️🌍 ALSO THANK YOU TO @Jaybefaunt for having me on his SHOW!! #FHL #podcasts",2021-10-31 18:41:50,HAPPY HALLOWEEN FRIENDS GENTLE RAMBLER PRESENTS Episode Interview with TurboKitty chairwoman Green Party Abortion Climate Change much more ENJOY ALSO THANK Jaybefaunt having SHOW podcasts,happiness
"It's 66 degrees here on Halloween. Like most New Englanders, I remember many a year having to wear a ski jacket and gloves under the costume. #ClimateChange",2021-10-31 18:40:12,degrees here Halloween Like most Englanders remember many year having wear jacket gloves under costume ClimateChange,neutral
"GREETINGS FRIENDS AROUND THE WORLD 🌍🌃☕ GENTLE RAMBLER PRESENTS: Beneath the Surface Episode 27 Interview with @TurboKitty on Abortion, Climate Change, Green Party and more ENJOY 🎙️👍💯",2021-10-31 18:19:32,GREETINGS FRIENDS AROUND WORLD GENTLE RAMBLER PRESENTS Beneath Surface Episode Interview with TurboKitty Abortion Climate Change Green Party more ENJOY,happiness
"I love that when @GretaThunberg arrives at #COP26 her “security” entourage is a swarm of women who surround her, locked in arms, moving her forward. Contrast that w/ leaders who’ve led less than her on key crises like climate change, armored and paranoid. True leadership, Greta.",2021-10-31 18:11:41,love that when GretaThunberg arrives COP26 security entourage swarm women surround locked arms moving forward Contrast that leaders less than crises like climate change armored paranoid True leadership Greta,love
Climate change - every little helps.  Enormous amounts of pork chop for dinner!,2021-10-31 17:45:59,Climate change every little helps Enormous amounts pork chop dinner,neutral
"Thinking about what my generation has contributed to mankind (so far), I think we're doing a decent job, leaving this place and it's inhabitants in a better state than we found it, you know until we all die due to climate change 💜",2021-10-31 17:09:09,Thinking about what generation contributed mankind think doing decent leaving this place inhabitants better state than found know until climate change,worry
HAPPY #Sustainable #SupplyChainSunday!   #SupplyChain is now recognized as more important than ever before in the fight against #ClimateChange!  #Follow   @SupplyChain  @SCM_Technology   @SupplyChainNtwk @DistLogistics   @JeffAshcroft! Cheers!  #SCM #ecommerce #fulfillment #COP26,2021-10-31 17:06:18,HAPPY Sustainable SupplyChainSunday SupplyChain recognized more important than ever before fight against ClimateChange Follow SupplyChain SCM_Technology SupplyChainNtwk DistLogistics JeffAshcroft Cheers ecommerce fulfillment COP26,love
Really interesting read and photos on how Glasgow has changed-good for both geographers and @BarrheadHistory   Glasgow: The last best hope to fight climate change,2021-10-31 16:39:36,Really interesting read photos Glasgow changed good both geographers BarrheadHistory Glasgow last best hope fight climate change,love
"Chuck has the audacity to lecture on Climate Change? Really? Wonder how much damage has been done by heating massive, empty palaces? Flying first class around the world? Slaughtering animals for fun? Hypocrite",2021-10-31 16:22:10,Chuck audacity lecture Climate Change Really Wonder much damage been done heating massive empty palaces Flying first class around world Slaughtering animals Hypocrite,worry
The best way to attack climate change to use as much clean energy as possible and then supplement with easily deployable coal for those unpredictable circumstances #ClimateAction #ClimateEmergency #Climate #COP26 #GlobalWarming #Pollution #CO2,2021-10-31 13:40:20,best attack climate change much clean energy possible then supplement with easily deployable coal those unpredictable circumstances ClimateAction ClimateEmergency Climate COP26 GlobalWarming Pollution,neutral
Love is Love All lives Matter Climate change is real All humans deserve rights Lgbtq+ is Valid,2021-10-31 13:16:38,Love Love lives Matter Climate change real humans deserve rights Lgbtq Valid,love
"To all my great great @ManUtd fans around this great American globe that want to visit Old Trafford in Scotland, vote for me and I will end the war on climate change, TODAY!!!! Making it simple to fly anywhere. #G20 #PremierLeague",2021-10-31 12:50:43,great great ManUtd fans around this great American globe that want visit Trafford Scotland vote will climate change TODAY Making simple anywhere PremierLeague,happiness
It’s a very dark and damp Fall morning here in Erie.. thank you fake man made climate change!,2021-10-31 12:09:22,very dark damp Fall morning here Erie thank fake made climate change,love
"I love d way powerful people &amp; #politicians  talk about #climatechange with their powerful #cars &amp; #bikes, their mansions with air-conditioners &amp; their #privatejets.  The rest nod their heads, unaware of a blast coming their ways! @GretaThunberg @UNFCCC @India4Climate",2021-10-31 11:30:17,love powerful people politicians talk about climatechange with their powerful cars bikes their mansions with conditioners their privatejets rest their heads unaware blast coming their ways GretaThunberg UNFCCC India4Climate,worry
"I know.. Brilliant idea. Let’s all build homes in tornado ally. Fantastic!!! we can then watch as they destroy all the homes, blame it on climate change and use it as evidence to back it up.. Brilliant",2021-10-31 11:29:14,know Brilliant idea build homes tornado ally Fantastic then watch they destroy homes blame climate change evidence back Brilliant,worry
"#G20 &amp; #COP26 = supply chain disruption &amp; climate change. City logistics = resilience, sustainability, safety, environmental justice, quality of life, global economy and so much more. The most important part of transportation planning!  #freightmatters",2021-10-31 10:41:58,COP26 supply chain disruption climate change City logistics resilience sustainability safety environmental justice quality life global economy much more most important part transportation planning freightmatters,neutral
"Hey @cerysmatthews We know how much you love global collaboration, any chance of a shout out for brilliant students here in Glasgow - Our Dear Green Place and beyond who are helping tell global stories of the impact of climate change?  Diolch! 🌍👍",2021-10-31 10:30:01,cerysmatthews know much love global collaboration chance shout brilliant students here Glasgow Dear Green Place beyond helping tell global stories impact climate change Diolch,fun
World leaders = Hypocritical bastards. Thank me later #COP26 #climatechange #COP26Glasgow #ClimateCrisis #ClimateEmergency #ClimateAction,2021-10-31 10:15:51,World leaders Hypocritical bastards Thank later COP26 climatechange COP26Glasgow ClimateCrisis ClimateEmergency ClimateAction,happiness
"We're so impressed with the #MoneySense Climate Savers Top Trumps winners! Stanley, 9, from Invergowrie, chose to remind us to layer up before we turn the heating on to help reduce our household’s energy use (and the heating bills, too!). Nice one, Stanley. #COP26 #ClimateChange",2021-10-31 10:15:00,impressed with MoneySense Climate Savers Trumps winners Stanley from Invergowrie chose remind layer before turn heating help reduce household energy heating bills Nice Stanley COP26 ClimateChange,other
"COP THIS. The great irony is that the Globalists who have caused so much pollution now weaponise 'climate change' as a means of further power, control and taxation.",2021-10-31 10:07:25,THIS great irony that Globalists have caused much pollution weaponise climate change means further power control taxation,worry
"Love or hate her, I think Greta is the reason climate change has made it onto politicians agendas and the public’s minds. She’s done an incredible job and no doubt we’ll all have a lot to thank her for in years to come. @GretaThunberg    #marr",2021-10-31 10:04:58,Love hate think Greta reason climate change made onto politicians agendas public minds done incredible doubt have thank years come GretaThunberg marr,love
I love Greta me was going applause her English and knowledge on climate change then she goes and says naughty words like pissed off 😂😂😂 Still think she’s class like 👍 #Marr,2021-10-31 09:55:23,love Greta going applause English knowledge climate change then goes says naughty words like pissed Still think class like Marr,love
I just hosted the most amazing couple who #CYCLED from #London to #Glasgow to attend #COP26 it took them a week to get here! Absolutely incredible commitment to #climatechange &amp; I’m so impressed on so many levels xx ❤️🌍🚴🚴,2021-10-31 09:52:45,just hosted most amazing couple CYCLED from London Glasgow attend COP26 took them week here Absolutely incredible commitment climatechange impressed many levels,fun
"Hugely impressed by @Ed_Miliband on #marr, clear and well-informed and sounds like a man with a genuine plan to tackle climate change. Even got away with his line “a red thread from red Ed” 😂",2021-10-31 09:46:02,Hugely impressed Ed_Miliband marr clear well informed sounds like with genuine plan tackle climate change Even away with line thread from,other
Very impressed by Tina Stege from The Marshall Islands. The most persuasive speaker I’ve heard on the need for climate change. @AndrewMarr9 @BBCPolitics,2021-10-31 09:41:00,Very impressed Tina Stege from Marshall Islands most persuasive speaker heard need climate change AndrewMarr9 BBCPolitics,sadness
"“Our best chance to stop global warming has arrived” **** me this “news” is so ****, the best time to do something on climate change was when I was still in diapers and sucking my thumb",2021-10-31 09:28:50,best chance stop global warming arrived this news best time something climate change when still diapers sucking thumb,worry
"Amid the #UN COP26 climate conference @ Glasgow, researchers are voicing their alarming bells by underscoring link between climate change and migration is so far full talks with little action.  #The World Bank report.",2021-10-31 09:26:46,Amid COP26 climate conference Glasgow researchers voicing their alarming bells underscoring link between climate change migration full talks with little action World Bank report,neutral
I told my wife I believe in #climatechange. I left her for her best friend.  I changed my climate 😏,2021-10-31 08:18:50,told wife believe climatechange left best friend changed climate,surprise
"Bro,US is really into Climate Change agenda like nonsense ...... Countries that see beyong the brains",2021-10-31 07:33:20,really into Climate Change agenda like nonsense Countries that beyong brains,sadness
"""pope francis and joe biden discuss climate, poverty and covid 19""  joe: you hear about climate change? pope: yesss love it. what about poverty joe: love it! and covid 19? pope: love it so much omg purrr",2021-10-31 04:03:51,pope francis biden discuss climate poverty covid hear about climate change pope yesss love what about poverty love covid pope love much purrr,love
So the mahatma of climate change has reached Glasgow with her entourage,2021-10-31 03:56:09,mahatma climate change reached Glasgow with entourage,neutral
"Excellent Podcast..”Chronic Catastrophe” about the impacts of cumulative climate change disasters on our mind, bodies and spirits. Great job by local  college students in Sonoma County California..picked up by NPR Podcasts",2021-10-31 01:59:46,Excellent Podcast Chronic Catastrophe about impacts cumulative climate change disasters mind bodies spirits Great local college students Sonoma County California picked Podcasts,neutral
"#Affirmation I love HELPING to keep our earth MORE COOL, with HOT ideas witch treats everyone LESS CRUEL. #Helpful #Lending $TREE #Trees #PlantTrees #TREEtment #CarbonFootprint #ClimateChange #WeatherizationDay #CoolDown #DevilsNight #DeEvilsKnight",2021-10-31 01:31:14,Affirmation love HELPING keep earth MORE COOL with ideas witch treats everyone LESS CRUEL Helpful Lending TREE Trees PlantTrees TREEtment CarbonFootprint ClimateChange WeatherizationDay CoolDown DevilsNight DeEvilsKnight,love
"Thank you climate change for this incredible storm, I'm currently rewatching #NorthandSouth 😌😌😌😌😌",2021-10-30 23:55:46,Thank climate change this incredible storm currently rewatching NorthandSouth,love
"The Liberals two most favoured climate change solutions require intensive amounts of water, Nuclear and Carbon Capture and Storage. Perfect for a dry continent #insiders",2021-10-30 22:53:18,Liberals most favoured climate change solutions require intensive amounts water Nuclear Carbon Capture Storage Perfect continent insiders,worry
I'm very clear that leftover curry is important to climate change talks,2021-10-30 21:50:13,very clear that leftover curry important climate change talks,sadness
Unbelievable that the heir apparent PRINCE CHARLES is lecturing the world on #climateChange. I’d like to know more regarding his holier than thou opinion on #ADULTERY. The almighty privileged #soapBOX #aJOKE.,2021-10-30 20:45:55,Unbelievable that heir apparent PRINCE CHARLES lecturing world climateChange like know more regarding holier than thou opinion ADULTERY almighty privileged soapBOX aJOKE,worry
"Thank you so much to everyone who co-created and came to TEDxHappily today, it’s wonderful to be in a community of climate change makers from all walks of life 🌏🕊",2021-10-30 20:00:48,Thank much everyone created came TEDxHappily today wonderful community climate change makers from walks life,happiness
More Love Less Ego will create world peace and curb climate change.,2021-10-30 19:42:04,More Love Less will create world peace curb climate change,love
"Human hobbies make life amazing. The simple things that makes you smile during the pandemic is like watching Arnold Schwarzenneger feeding his donkeys, Lulu and Whisky. Then he gets  all worked up about climate change.",2021-10-30 18:53:15,Human hobbies make life amazing simple things that makes smile during pandemic like watching Arnold Schwarzenneger feeding donkeys Lulu Whisky Then gets worked about climate change,happiness
"What a great day working with the @Glasgow_Ignite Mini’s and juniors.What a great show you guys both did today on climate change, well done. Many thanks",2021-10-30 18:06:37,What great working with Glasgow_Ignite Mini juniors What great show guys both today climate change well done Many thanks,happiness
".@Camila_Cabello I'm a fan who cares deeply about the climate crisis. Thank you so much for all you're doing to call out this crisis to your millions of followers! With your help, we CAN solve climate change!",2021-10-30 17:14:21,Camila_Cabello cares deeply about climate crisis Thank much doing call this crisis your millions followers With your help solve climate change,sadness
Thank god Man U scored the world can keep spinning and climate change has been fixed according to sky sports news FFS #TOTMUN,2021-10-30 17:12:52,Thank scored world keep spinning climate change been fixed according sports news TOTMUN,relief
Thank you  .@POTUS to a 50% CO2 reduction by 2030.  Climate Change fallout is upon us.  The quickest and most effective tool to combat it is a  .#PriceOnCarbon coupled with a dividend pay back.   .#GEMSTCCL  .@CitizensClimate,2021-10-30 16:55:32,Thank POTUS reduction 2030 Climate Change fallout upon quickest most effective tool combat PriceOnCarbon coupled with dividend back GEMSTCCL CitizensClimate,neutral
"We're so impressed with the #MoneySense Climate Savers Top Trumps winners! Mabel, 8, from London, drew this fantastic picture encouraging people to reduce their food miles by growing their own vegetables. Great idea, Mabel! #COP26 #ClimateChange",2021-10-30 15:49:00,impressed with MoneySense Climate Savers Trumps winners Mabel from London drew this fantastic picture encouraging people reduce their food miles growing their vegetables Great idea Mabel COP26 ClimateChange,happiness
Happy birthday to the voice of Gilgit Baltistan - @ShabbirMir!  Your stories on environment and climate change impacts in GB have led to action. Keep up your excellent work!,2021-10-30 15:40:29,Happy birthday voice Gilgit Baltistan ShabbirMir Your stories environment climate change impacts have action Keep your excellent work,happiness
"Jesus teaches us there are no greater commandments than to love God and love our neighbour.   To keep those commandments as Christians today, we must step up to the challenge of climate change.   #COP26",2021-10-30 15:18:01,Jesus teaches there greater commandments than love love neighbour keep those commandments Christians today must step challenge climate change COP26,love
tl's so dry today when yesterday we are literally flooded with tweets climate change is real ppl,2021-10-30 15:12:33,today when yesterday literally flooded with tweets climate change real,neutral
Biden's #G20Italy and #COP26Glasgow tour is the best argument why the current burden sharing approach on climate mitigation is wrong. #climatechange,2021-10-30 14:42:30,Biden G20Italy COP26Glasgow tour best argument current burden sharing approach climate mitigation wrong climatechange,love
"Honestly, nothing snaps me back into Catholicism quicker than US Bishops shilling for the far right and thinking they know better than the literal Pope because he’s for Covid vaccines, love, and taking climate change seriously.",2021-10-30 13:37:01,Honestly nothing snaps back into Catholicism quicker than Bishops shilling right thinking they know better than literal Pope because Covid vaccines love taking climate change seriously,love
Love the climate change deniers veiled as a „concerned citizens“ on LBC,2021-10-30 13:09:13,Love climate change deniers veiled concerned citizens,love
While @JoeBiden  is over talking climate change closing our pipelines and destroying our energy independence... Asian countries are building as we speak 30 coal plants—- yes I said 30. Which will burn more coal than the United States ever did... think people,2021-10-30 13:03:51,While JoeBiden over talking climate change closing pipelines destroying energy independence Asian countries building speak coal plants said Which will burn more coal than United States ever think people,sadness
Keep on raining Ontario thanks climate change,2021-10-30 12:19:57,Keep raining Ontario thanks climate change,neutral
"CLIMATE CHANGE CONFERENCE WITHOUT CHINA, RUSSIA &amp; INDIA. A FESTIVAL OF POINTLESS, WOTRTHLESS BULLSHIT. ATTENDED BY THE MOST INCREDIBLE HYPOCRITES EVER ASSEMBLED IN ONE RAT INFESTED DUNG HEAP, HEADED BY  A PICT, WITH A SALTIRE DRAPED AROUND HER SILLY LITTLE SHOULDERS.",2021-10-30 12:06:49,CLIMATE CHANGE CONFERENCE WITHOUT CHINA RUSSIA INDIA FESTIVAL POINTLESS WOTRTHLESS BULLSHIT ATTENDED MOST INCREDIBLE HYPOCRITES EVER ASSEMBLED INFESTED DUNG HEAP HEADED PICT WITH SALTIRE DRAPED AROUND SILLY LITTLE SHOULDERS,happiness
"'Worldwide climate change,' 'worldwide Covid virus pandemic,' crooked worldwide leaders/media, banning differences of onion aka ""misinformation"" are perfect ways to control worldwide populations into submission.",2021-10-30 11:47:38,Worldwide climate change worldwide Covid virus pandemic crooked worldwide leaders media banning differences onion misinformation perfect ways control worldwide populations into submission,other
"#coronavirusuk Excellent news for UK productivity, efficiency, public health and impact on climate change: Commuting by train no more than 45% of pre pandemic levels. Let’s keep that up",2021-10-30 11:28:35,coronavirusuk Excellent news productivity efficiency public health impact climate change Commuting train more than pandemic levels keep that,sadness
"Well, well, well. Australia under the Scumo government ain't sitting so securely after all the bullshit it is feeding us about what a wonderful job he is doing in securing Climate Change eh? Not so far as our First Nation Indigenous brothers and sisters are concerned. Go Bros!",2021-10-30 10:20:00,Well well well Australia under Scumo government sitting securely after bullshit feeding about what wonderful doing securing Climate Change First Nation Indigenous brothers sisters concerned Bros,happiness
"Watching Biden pull up to the G20 in The Beast, is AWESOME.  No other country has a huge gas ⛽️ guzzler pull up like the 🇺🇸 United States does.  😂🤣😂🤣😂🤣  Looking great for Climate Change talks! 😂🤣😂🤣",2021-10-30 09:41:57,Watching Biden pull Beast AWESOME other country huge guzzler pull like United States does Looking great Climate Change talks,happiness
"You people talk about climate change like it’s our life time the planet has its own life time. Like the ice age, etc. every twenty five thousand years the Sahara desert has three lakes bigger than the Great Lakes. Sooo?",2021-10-30 08:14:06,people talk about climate change like life time planet life time Like every twenty five thousand years Sahara desert three lakes bigger than Great Lakes Sooo,love
Yo @BorisJohnson Is dressing up Downing Street to look like a backstreet titty bar and using even more electricity the best way to highlight climate change?,2021-10-30 06:58:24,BorisJohnson dressing Downing Street look like backstreet titty using even more electricity best highlight climate change,fun
"Reporters are truly the greatest threat in our country to the people. Liberals claim pretend ""climate change"" is worse. So much FAKE NEWS!",2021-10-30 05:13:49,Reporters truly greatest threat country people Liberals claim pretend climate change worse much FAKE NEWS,worry
I am very happy to be able to participate in the most important event in the world on environmental sustainability and climate change #COP26Glasgow. Thank you God for many wonderful opportunities that you give me.,2021-10-30 01:31:22,very happy able participate most important event world environmental sustainability climate change COP26Glasgow Thank many wonderful opportunities that give,love
So how's that climate change platitudes conference going so far?,2021-10-29 20:08:54,that climate change platitudes conference going,neutral
Followed by a great team leader. Thanks @BamboozledStu. We are climate change 'agents' #ClimateTrackerAsia,2021-10-29 18:14:50,Followed great team leader Thanks BamboozledStu climate change agents ClimateTrackerAsia,happiness
The pope and the president discussing climate change is brilliant.,2021-10-29 18:13:46,pope president discussing climate change brilliant,sadness
Biden is bringing 85 cars for COP26. How is this helping with climate change? Total madness.,2021-10-29 17:59:25,Biden bringing cars COP26 this helping with climate change Total madness,neutral
"Future Proof @FutureProofN #google #news Follow us for latest news Is Big Tech 'greenwashing' its environmental responsibilities ahead of COP26?  COP26, the UN’s climate change conference billed as “the world’s last best chance” to prevent the most disastrous effects of glob…",2021-10-29 17:50:14,Future Proof FutureProofN google news Follow latest news Tech greenwashing environmental responsibilities ahead COP26 COP26 climate change conference billed world last best chance prevent most disastrous effects glob,neutral
"Now the pope's chipped in his shilling's worth about climate change, I'm totally convinced, so I am.",2021-10-29 17:04:42,pope chipped shilling worth about climate change totally convinced,other
"VERIFY ""ALWAYS""! I WILL SAVE 1 BILLION HUMAN LIVES w/ OTHERS! STARTED MY ""GIG"" GATES' NOTE INTEGRATED w/ MY #GRASSYFARMLANDS! G I G! #CLIMATECHANGE and #VIRUS related! Let me explain...thawing ice...VIRUS out from thousands of years ago! #ZOMBIEVIRUS related! VERITAS! BEST!",2021-10-29 16:35:51,VERIFY ALWAYS WILL SAVE BILLION HUMAN LIVES OTHERS STARTED GATES NOTE INTEGRATED GRASSYFARMLANDS CLIMATECHANGE VIRUS related explain thawing VIRUS from thousands years ZOMBIEVIRUS related VERITAS BEST,worry
"The Biden Administration is using identity politics, covid and climate change to keep their boot on our necks.",2021-10-29 16:21:42,Biden Administration using identity politics covid climate change keep their boot necks,neutral
Each passing day highlights how much the climate crisis is already impacting our world. COP26 is our best chance to tackle climate change.#LesothoYouth #COP26Glasgow  #COY16  #Climatejustice,2021-10-29 16:01:03,Each passing highlights much climate crisis already impacting world COP26 best chance tackle climate change LesothoYouth COP26Glasgow COY16 Climatejustice,love
Thank you Adv @CatherineHigha3 for an incredibly insightful talk on your research with Dr.@averchenkova and Dr.@JoanaSetzer exploring the importance of effectively designed accountability mechanisms in climate change framework legislation! @CLGInitiative  @GRI_LSE #ClimateLaw,2021-10-29 15:20:56,Thank CatherineHigha3 incredibly insightful talk your research with averchenkova JoanaSetzer exploring importance effectively designed accountability mechanisms climate change framework legislation CLGInitiative GRI_LSE ClimateLaw,happiness
So Climate change was more important than abortion. Got it. Love those morals.,2021-10-29 15:17:56,Climate change more important than abortion Love those morals,love
I am loving this @BBCWorld interview with @Schwarzenegger! 400 HORSEPOWER ELECTRIC TRUCK BETTER THAN 320 HORSEPOWER DIESEL TRUCK! TERMINATE CLIMATE CHANGE!!,2021-10-29 14:49:43,loving this BBCWorld interview with Schwarzenegger HORSEPOWER ELECTRIC TRUCK BETTER THAN HORSEPOWER DIESEL TRUCK TERMINATE CLIMATE CHANGE,love
Anyone see the new United Nations climate change advertisement. It's great.,2021-10-29 14:13:33,Anyone United Nations climate change advertisement great,worry
Thank you Dr Alessandra Lehmen (Brazilian Bar Association) for your extremely interesting insights into putting a price on climate change as well as the ever-evolving relationship between climate trade and conflict @CLGInitiative @EULegalStudies @cambridgelaw  #ClimateLaw,2021-10-29 13:52:04,Thank Alessandra Lehmen Brazilian Association your extremely interesting insights into putting price climate change well ever evolving relationship between climate trade conflict CLGInitiative EULegalStudies cambridgelaw ClimateLaw,happiness
"I hope that everyone travelling to #Glasgow for #COP26 has a good experience whether NGO, industry specialist, Governmental rep, scientist, environmental campaigner, resident or cop. #keepitsafe #timeforaction on #climatechange",2021-10-29 11:37:34,hope that everyone travelling Glasgow COP26 good experience whether industry specialist Governmental scientist environmental campaigner resident keepitsafe timeforaction climatechange,other
"We're so impressed with the #MoneySense Climate Savers Top Trumps winners! Tymon, 10, from London, chose to remind us of the environmental benefits of driving an electric car. Great point, Tymon! #COP26 #ClimateChange",2021-10-29 10:43:00,impressed with MoneySense Climate Savers Trumps winners Tymon from London chose remind environmental benefits driving electric Great point Tymon COP26 ClimateChange,happiness
